PL,method_function,Approach,COG,CYC
Python,_upload_manifest,FLAG,12,7
Python,cspreport,ORIG,2,3
Python,cspreport,DEV,2,3
Python,cspreport,FLAG,1,2
Golang,declareFixedRoles,ORIG,5,6
Golang,declareFixedRoles,DEV,5,6
Golang,declareFixedRoles,FLAG,2,3
Golang,PostAnnotation,ORIG,14,11
Golang,PostAnnotation,DEV,14,11
Golang,PostAnnotation,FLAG,13,10
Golang,UpdateAnnotation,ORIG,9,9
Golang,UpdateAnnotation,DEV,9,9
Golang,UpdateAnnotation,FLAG,7,8
Golang,PatchAnnotation,ORIG,16,16
Golang,PatchAnnotation,DEV,16,16
Golang,PatchAnnotation,FLAG,14,15
Golang,MassDeleteAnnotations,ORIG,19,15
Golang,MassDeleteAnnotations,DEV,19,15
Golang,MassDeleteAnnotations,FLAG,18,14
Golang,DeleteAnnotationByID,ORIG,8,7
Golang,DeleteAnnotationByID,DEV,8,7
Golang,DeleteAnnotationByID,FLAG,5,6
Golang,AnnotationTypeScopeResolver,ORIG,28,13
Golang,AnnotationTypeScopeResolver,DEV,28,13
Golang,AnnotationTypeScopeResolver,FLAG,23,11
Golang,canCreateAnnotation,ORIG,9,6
Golang,canCreateAnnotation,DEV,9,6
Golang,canCreateAnnotation,FLAG,5,4
Golang,canMassDeleteAnnotations,ORIG,12,8
Golang,canMassDeleteAnnotations,DEV,12,8
Golang,canMassDeleteAnnotations,FLAG,8,6
Golang,registerRoutes,ORIG,29,26
Golang,registerRoutes,DEV,29,26
Golang,registerRoutes,FLAG,10,16
Golang,getCreatedSnapshotHandler,ORIG,5,4
Golang,getCreatedSnapshotHandler,DEV,5,4
Golang,getCreatedSnapshotHandler,FLAG,3,3
Golang,GetDashboard,ORIG,49,34
Golang,GetDashboard,DEV,49,34
Golang,GetDashboard,FLAG,45,31
Golang,deleteDashboard,ORIG,20,14
Golang,deleteDashboard,DEV,20,14
Golang,deleteDashboard,FLAG,15,12
Golang,getDSQueryEndpoint,ORIG,5,4
Golang,getDSQueryEndpoint,DEV,5,4
Golang,getDSQueryEndpoint,FLAG,3,3
Golang,GetFolders,ORIG,7,6
Golang,GetFolders,DEV,7,6
Golang,GetFolders,FLAG,3,4
Golang,CreateFolder,ORIG,6,6
Golang,CreateFolder,DEV,6,6
Golang,CreateFolder,FLAG,4,5
Golang,setDefaultFolderPermissions,ORIG,6,6
Golang,setDefaultFolderPermissions,DEV,6,6
Golang,setDefaultFolderPermissions,FLAG,5,5
Golang,MoveFolder,ORIG,7,5
Golang,MoveFolder,DEV,7,5
Golang,MoveFolder,FLAG,3,4
Golang,newToFolderDto,ORIG,17,10
Golang,newToFolderDto,DEV,17,10
Golang,newToFolderDto,FLAG,16,9
Golang,getFrontendSettings,ORIG,48,39
Golang,getFrontendSettings,DEV,48,39
Golang,getFrontendSettings,FLAG,44,35
Golang,setIndexViewData,ORIG,16,16
Golang,setIndexViewData,DEV,16,16
Golang,setIndexViewData,FLAG,14,15
Golang,getThemeForIndexData,ORIG,6,7
Golang,getThemeForIndexData,DEV,6,7
Golang,getThemeForIndexData,FLAG,5,5
Golang,OAuthLogin,ORIG,9,7
Golang,OAuthLogin,DEV,9,7
Golang,OAuthLogin,FLAG,7,6
Golang,tryAutoLogin,ORIG,19,15
Golang,tryAutoLogin,DEV,19,15
Golang,tryAutoLogin,FLAG,14,13
Golang,redirectURLWithErrorCookie,ORIG,12,8
Golang,redirectURLWithErrorCookie,DEV,12,8
Golang,redirectURLWithErrorCookie,FLAG,8,7
Golang,registerPlaylistAPI,ORIG,3,2
Golang,registerPlaylistAPI,DEV,3,2
Golang,registerPlaylistAPI,FLAG,0,1
Golang,GetPluginList,ORIG,39,28
Golang,GetPluginList,DEV,39,28
Golang,GetPluginList,FLAG,38,27
Golang,InstallPlugin,ORIG,11,9
Golang,InstallPlugin,DEV,11,9
Golang,InstallPlugin,FLAG,10,8
Golang,HandleRequest,ORIG,16,12
Golang,HandleRequest,DEV,16,12
Golang,HandleRequest,FLAG,16,12
Golang,buildCMDNode,ORIG,13,15
Golang,buildCMDNode,DEV,13,15
Golang,buildCMDNode,FLAG,5,6
C#,UseSqlDatabaseStatus,ORIG,2,2
C#,UseSqlDatabaseStatus,DEV,2,2
C#,UseSqlDatabaseStatus,FLAG,0,1
C#,GetServiceManager,ORIG,2,2
C#,GetServiceManager,DEV,2,2
C#,GetServiceManager,FLAG,0,1
C#,MigrateAllProjectsAsync,ORIG,25,13
C#,MigrateAllProjectsAsync,DEV,25,13
C#,MigrateAllProjectsAsync,FLAG,23,11
C#,GetTargetLanguageAsync,ORIG,1,2
C#,GetTargetLanguageAsync,DEV,1,2
C#,GetTargetLanguageAsync,FLAG,0,1
C#,TryAddToLocalStorage,ORIG,2,4
C#,TryAddToLocalStorage,DEV,2,4
C#,TryAddToLocalStorage,FLAG,1,3
C#,FindItem,ORIG,9,9
C#,FindItem,DEV,9,9
C#,FindItem,FLAG,3,4
C#,CreateAuthenticationEventAsync,ORIG,3,3
C#,CreateAuthenticationEventAsync,DEV,3,3
C#,CreateAuthenticationEventAsync,FLAG,1,2
C#,CreateAuthenticationEventAsync,ORIG,3,3
C#,CreateAuthenticationEventAsync,DEV,3,3
C#,CreateAuthenticationEventAsync,FLAG,1,2
C#,Handle,ORIG,3,3
C#,Handle,DEV,3,3
C#,Handle,FLAG,1,2
C#,ResolveAsync,ORIG,1,2
C#,ResolveAsync,DEV,1,2
C#,ResolveAsync,FLAG,0,1
C#,BatchCollectedMetrics,ORIG,2,3
C#,BatchCollectedMetrics,DEV,2,3
C#,BatchCollectedMetrics,FLAG,1,2
C#,GetMetaDataCollector,ORIG,1,3
C#,GetMetaDataCollector,DEV,1,3
C#,GetMetaDataCollector,FLAG,0,1
C#,GetMetricsCollector,ORIG,1,3
C#,GetMetricsCollector,DEV,1,3
C#,GetMetricsCollector,FLAG,0,1
C#,CheckHealthAsync,ORIG,7,8
C#,CheckHealthAsync,DEV,7,8
C#,CheckHealthAsync,FLAG,6,7
C#,CreateAsync,ORIG,1,6
C#,CreateAsync,DEV,1,6
C#,CreateAsync,FLAG,0,5
C#,CreateAsync,ORIG,1,6
C#,CreateAsync,DEV,1,6
C#,CreateAsync,FLAG,0,5
C#,CreateMenuBuilder,ORIG,1,2
C#,CreateMenuBuilder,DEV,1,2
C#,CreateMenuBuilder,FLAG,0,1
C#,CreateAsync,ORIG,2,4
C#,CreateAsync,DEV,2,4
C#,CreateAsync,FLAG,1,3
C#,GetAuth,ORIG,1,2
C#,GetAuth,DEV,1,2
C#,GetAuth,FLAG,0,1
C#,InvokeAsync,ORIG,3,4
C#,InvokeAsync,DEV,3,4
C#,InvokeAsync,FLAG,2,3
C#,UseUtilitiesModule,ORIG,1,2
C#,UseUtilitiesModule,DEV,1,2
C#,UseUtilitiesModule,FLAG,0,1
C#,SummarizeConversationAsync,ORIG,9,13
C#,SummarizeConversationAsync,DEV,9,13
C#,SummarizeConversationAsync,FLAG,8,12
C#,RaiseSignalsFromCategoriesAsync,ORIG,7,10
C#,RaiseSignalsFromCategoriesAsync,DEV,7,10
C#,RaiseSignalsFromCategoriesAsync,FLAG,6,9
C#,RaiseSignalsFromCategoriesAsync,ORIG,3,4
C#,RaiseSignalsFromCategoriesAsync,DEV,3,4
C#,RaiseSignalsFromCategoriesAsync,FLAG,2,3
